x,y
0.00,33.50
1.00,34.53
2.00,35.56
3.00,36.59
4.00,37.62
5.00,38.65
6.00,39.68
7.00,40.71
8.00,41.74
9.00,42.77
10.00,43.80
11.00,44.83
12.00,45.86
13.00,46.89
14.00,47.92
15.00,48.95
16.00,49.98
17.00,51.01
18.00,52.04
19.00,53.07
20.00,54.10
21.00,55.13
22.00,56.16
23.00,57.19
24.00,58.22
25.00,59.25
26.00,60.28
27.00,61.31
28.00,62.34
29.00,63.37
30.00,64.40
31.00,65.43
32.00,66.46
33.00,67.49
34.00,68.52
35.00,69.55
36.00,70.58
37.00,71.61
38.00,72.64
39.00,73.67
40.00,74.70
41.00,75.73
42.00,76.76
43.00,77.79
44.00,78.82
45.00,79.85
46.00,80.88
47.00,81.91
48.00,82.94
49.00,83.97
50.00,85.00
51.00,86.03
52.00,87.06
53.00,88.09
54.00,89.12
55.00,90.15
56.00,91.18
57.00,92.21
58.00,93.24
59.00,94.27
60.00,95.30
61.00,96.33
62.00,97.36
63.00,98.39
64.00,99.42
65.00,100.45
66.00,101.48
67.00,102.51
68.00,103.54
69.00,104.57
70.00,105.60
71.00,106.63
72.00,107.66
73.00,108.69
74.00,109.72
75.00,110.75
76.00,111.78
77.00,112.81
78.00,113.84
79.00,114.87
80.00,115.90
81.00,116.93
82.00,117.96
83.00,118.99
84.00,120.02
85.00,121.05
86.00,122.08
87.00,123.11
88.00,124.14
89.00,125.17
90.00,126.20
91.00,127.23
92.00,128.26
93.00,129.29
94.00,130.32
95.00,131.35
96.00,132.38
97.00,133.41
98.00,134.44
99.00,135.47
