x,y
0.00,35.75
1.00,36.84
2.00,37.93
3.00,39.02
4.00,40.11
5.00,41.20
6.00,42.29
7.00,43.38
8.00,44.47
9.00,45.56
10.00,46.65
11.00,47.74
12.00,48.83
13.00,49.92
14.00,51.01
15.00,52.10
16.00,53.19
17.00,54.28
18.00,55.37
19.00,56.46
20.00,57.55
21.00,58.64
22.00,59.73
23.00,60.82
24.00,61.91
25.00,63.00
26.00,64.09
27.00,65.18
28.00,66.27
29.00,67.36
30.00,68.45
31.00,69.54
32.00,70.63
33.00,71.72
34.00,72.81
35.00,73.90
36.00,74.99
37.00,76.08
38.00,77.17
39.00,78.26
40.00,79.35
41.00,80.44
42.00,81.53
43.00,82.62
44.00,83.71
45.00,84.80
46.00,85.89
47.00,86.98
48.00,88.07
49.00,89.16
50.00,90.25
51.00,91.34
52.00,92.43
53.00,93.52
54.00,94.61
55.00,95.70
56.00,96.79
57.00,97.88
58.00,98.97
59.00,100.06
60.00,101.15
61.00,102.24
62.00,103.33
63.00,104.42
64.00,105.51
65.00,106.60
66.00,107.69
67.00,108.78
68.00,109.87
69.00,110.96
70.00,112.05
71.00,113.14
72.00,114.23
73.00,115.32
74.00,116.41
75.00,117.50
76.00,118.59
77.00,119.68
78.00,120.77
79.00,121.86
80.00,122.95
81.00,124.04
82.00,125.13
83.00,126.22
84.00,127.31
85.00,128.40
86.00,129.49
87.00,130.58
88.00,131.67
89.00,132.76
90.00,133.85
91.00,134.94
92.00,136.03
93.00,137.12
94.00,138.21
95.00,139.30
96.00,140.39
97.00,141.48
98.00,142.57
99.00,143.66
